Город,1897,1926,1939,1959,1970,1979,1989,2002,2010,2016,2021,2022,2023,2024,Ссылка на информацию о городе
Москва,1039,2080,4609,6133,7194,8057,8878,10126,11504,12330,13010,13015,13104,13150,https://ru.wikipedia.org/wiki/%D0%9C%D0%BE%D1%81%D0%BA%D0%B2%D0%B0
Санкт-Петербург,1265,1737,3431,3390,4033,4569,4989,4661,4880,5226,5602,5608,5600,5598,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BD%D0%BA%D1%82-%D0%9F%D0%B5%D1%82%D0%B5%D1%80%D0%B1%D1%83%D1%80%D0%B3
Новосибирск,8,120,404,885,1161,1309,1420,1426,1474,1584,1634,1636,1635,1634,https://ru.wikipedia.org/wiki/%D0%9D%D0%BE%D0%B2%D0%BE%D1%81%D0%B8%D0%B1%D0%B8%D1%80%D1%81%D0%BA
Екатеринбург,43,140,423,779,1025,1210,1296,1294,1350,1444,1544,1543,1539,1536,https://ru.wikipedia.org/wiki/%D0%95%D0%BA%D0%B0%D1%82%D0%B5%D1%80%D0%B8%D0%BD%D0%B1%D1%83%D1%80%D0%B3
Казань,130,179,406,667,869,989,1085,1105,1144,1217,1309,1312,1315,,https://ru.wikipedia.org/wiki/%D0%9A%D0%B0%D0%B7%D0%B0%D0%BD%D1%8C
Нижний Новгород,90,222,644,941,1170,1342,1438,1311,1251,1267,1226,1223,1213,,https://ru.wikipedia.org/wiki/%D0%9D%D0%B8%D0%B6%D0%BD%D0%B8%D0%B9_%D0%9D%D0%BE%D0%B2%D0%B3%D0%BE%D1%80%D0%BE%D0%B4
Красноярск,27,72,190,412,648,795,869,909,974,1067,1188,1195,1197,1206,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D1%8F%D1%80%D1%81%D0%BA
Челябинск,20,59,273,689,875,1030,1107,1077,1130,1192,1190,1186,1183,1177,https://ru.wikipedia.org/wiki/%D0%A7%D0%B5%D0%BB%D1%8F%D0%B1%D0%B8%D0%BD%D1%81%D0%BA
Самара,90,176,390,806,1027,1192,1222,1158,1165,1171,1173,1171,1164,,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D0%BC%D0%B0%D1%80%D0%B0
Уфа,49,99,258,547,780,977,1080,1042,1062,1111,1145,,1158,,https://ru.wikipedia.org/wiki/%D0%A3%D1%84%D0%B0
Ростов-на-Дону,120,308,510,600,789,925,1008,1068,1089,1120,1142,1135,1136,,https://ru.wikipedia.org/wiki/%D0%A0%D0%BE%D1%81%D1%82%D0%BE%D0%B2-%D0%BD%D0%B0-%D0%94%D0%BE%D0%BD%D1%83
Краснодар,66,163,193,313,460,557,619,646,745,854,1099,1113,1121,,https://ru.wikipedia.org/wiki/%D0%9A%D1%80%D0%B0%D1%81%D0%BD%D0%BE%D0%B4%D0%B0%D1%80
Омск,37,162,289,581,821,1016,1149,1134,1154,1178,1126,,1111,,https://ru.wikipedia.org/wiki/%D0%9E%D0%BC%D1%81%D0%BA
Воронеж,81,122,344,447,660,781,882,849,890,1032,1058,,1052,1047,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D1%80%D0%BE%D0%BD%D0%B5%D0%B6
Пермь,45,121,306,629,850,998,1041,1002,991,1042,1034,1030,1027,1024,https://ru.wikipedia.org/wiki/%D0%9F%D0%B5%D1%80%D0%BC%D1%8C
Волгоград,55,151,445,591,815,926,999,1011,1021,1016,1028,1028,1026,,https://ru.wikipedia.org/wiki/%D0%92%D0%BE%D0%BB%D0%B3%D0%BE%D0%B3%D1%80%D0%B0%D0%B4
Саратов,137,220,372,579,757,854,902,873,838,843,901,898,892,886,https://ru.wikipedia.org/wiki/%D0%A1%D0%B0%D1%80%D0%B0%D1%82%D0%BE%D0%B2
Тюмень,30,50,79,150,269,356,476,511,582,721,847,849,856,861,https://ru.wikipedia.org/wiki/%D0%A2%D1%8E%D0%BC%D0%B5%D0%BD%D1%8C
Тольятти,6,6,9,61,251,505,629,703,720,713,685,682,675,,https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BB%D1%8C%D1%8F%D1%82%D1%82%D0%B8
Барнаул,21,74,148,303,439,534,599,601,612,636,631,,623,620,https://ru.wikipedia.org/wiki/%D0%91%D0%B0%D1%80%D0%BD%D0%B0%D1%83%D0%BB
Махачкала,10,34,87,119,178,247,302,462,572,588,623,,623,,https://ru.wikipedia.org/wiki/%D0%9C%D0%B0%D1%85%D0%B0%D1%87%D0%BA%D0%B0%D0%BB%D0%B0
Ижевск,22,63,176,285,422,551,635,632,628,643,623,,621,,https://ru.wikipedia.org/wiki/%D0%98%D0%B6%D0%B5%D0%B2%D1%81%D0%BA
Хабаровск,15,52,207,323,436,526,598,583,577,611,617,618,617,,https://ru.wikipedia.org/wiki/%D0%A5%D0%B0%D0%B1%D0%B0%D1%80%D0%BE%D0%B2%D1%81%D0%BA
Ульяновск,42,66,98,206,351,462,624,636,615,622,617,616,613,,https://ru.wikipedia.org/wiki/%D0%A3%D0%BB%D1%8C%D1%8F%D0%BD%D0%BE%D0%B2%D1%81%D0%BA
Иркутск,51,108,250,366,451,547,573,594,588,623,617,617,611,,https://ru.wikipedia.org/wiki/%D0%98%D1%80%D0%BA%D1%83%D1%82%D1%81%D0%BA
Владивосток,29,108,206,291,441,549,631,595,592,607,604,,597,,https://ru.wikipedia.org/wiki/%D0%92%D0%BB%D0%B0%D0%B4%D0%B8%D0%B2%D0%BE%D1%81%D1%82%D0%BE%D0%BA
Ярославль,72,116,309,407,517,595,629,613,592,607,577,,571,,https://ru.wikipedia.org/wiki/%D0%AF%D1%80%D0%BE%D1%81%D0%BB%D0%B0%D0%B2%D0%BB%D1%8C
Севастополь[Крым 1],54,75,114,148,229,301,356,,,416,548,547,558,561,https://ru.wikipedia.org/wiki/%D0%A1%D0%B5%D0%B2%D0%B0%D1%81%D1%82%D0%BE%D0%BF%D0%BE%D0%BB%D1%8C
Томск,52,92,145,249,338,423,473,488,525,569,556,555,552,546,https://ru.wikipedia.org/wiki/%D0%A2%D0%BE%D0%BC%D1%81%D0%BA
